mac,weekday,fecha_esp32,voltaje,corriente,potencia,frecuencia,energia,fp,esp32_temp,workstation_cpu,workstation_cpu_power,workstation_cpu_temp,workstation_gpu,workstation_gpu_power,workstation_gpu_temp,workstation_ram,workstation_ram_power
3C:61:05:12:96:30,6,2022-07-02 05:05:00,119.41000000000001,1.0859833333333335,118.56833333333334,59.968333333333334,0.002000000000066393,0.9136666666666666,49.29627000000001,10.266833333333333,43.09,33.516666666666666,0.0,35.46666666666667,14.607333333333333,48.866,9.920833333333333
3C:61:05:12:96:30,6,2022-07-02 05:06:00,119.42666666666668,1.0822666666666665,118.25166666666668,59.943333333333335,0.0019999999999527063,0.9146666666666667,49.31479,10.797,43.09,34.0,0.03333333333333333,35.583333333333336,14.686,48.89233333333333,9.442166666666667
3C:61:05:12:96:30,6,2022-07-02 05:07:00,119.41833333333334,1.0791,117.81666666666666,59.92833333333333,0.0019999999999527063,0.9138333333333334,51.09256333333334,10.154833333333332,43.09,32.96666666666667,0.13333333333333333,35.4,14.724,49.1545,8.816666666666666
3C:61:05:12:96:30,6,2022-07-02 05:08:00,119.41000000000001,1.0821,118.21666666666667,59.961666666666666,0.002000000000066393,0.9151666666666667,50.19441666666667,10.015833333333335,43.09,32.56666666666667,0.03333333333333333,35.516666666666666,14.754,49.157000000000004,9.075833333333332
3C:61:05:12:96:30,6,2022-07-02 05:09:00,119.40169491525425,1.0833559322033899,118.34067796610168,59.99322033898305,0.0019999999999527063,0.914406779661017,50.13179830508474,10.147118644067795,43.09,33.101694915254235,0.06779661016949153,35.52542372881356,14.722881355932204,49.169152542372885,8.966610169491524
3C:61:05:12:96:30,6,2022-07-02 05:10:00,119.40666666666668,1.0802833333333335,117.94833333333332,59.975,0.002000000000066393,0.9143333333333333,49.731453333333334,9.798166666666667,43.09,32.85,0.2,35.666666666666664,14.755,49.191,9.054333333333334
3C:61:05:12:96:30,6,2022-07-02 05:11:00,119.4,1.0818833333333333,118.25166666666668,59.95666666666667,0.0019999999999527063,0.9156666666666667,49.611085,9.898166666666667,43.09,33.63333333333333,0.16666666666666666,35.56666666666667,14.801666666666668,49.17283333333333,9.885833333333332
3C:61:05:12:96:30,6,2022-07-02 05:12:00,119.39666666666668,1.0753166666666667,117.35,59.97,0.002000000000066393,0.9136666666666666,51.76848833333334,9.998,43.09,33.0,0.0,35.53333333333333,14.821,49.216833333333334,8.625499999999999
3C:61:05:12:96:30,6,2022-07-02 05:13:00,119.40166666666667,1.0817333333333332,118.24,59.958333333333336,0.0019999999999527063,0.9151666666666667,50.203675,10.556166666666666,43.09,33.733333333333334,0.0,35.483333333333334,14.634666666666668,49.20366666666666,9.130833333333333
3C:61:05:12:96:30,6,2022-07-02 05:14:00,119.40333333333335,1.0859833333333335,118.74833333333332,59.95166666666667,0.0019999999999527063,0.9158333333333334,50.185155,10.655166666666668,43.09,33.35,0.0,35.516666666666666,14.480833333333333,49.209833333333336,9.222000000000001
3C:61:05:12:96:30,6,2022-07-02 05:15:00,119.40833333333333,1.0767,117.60166666666667,59.96,0.002000000000066393,0.9153333333333333,51.527746666666665,9.528166666666667,43.09,31.766666666666666,0.0,35.6,14.465833333333332,49.21666666666667,8.318666666666667
3C:61:05:12:96:30,6,2022-07-02 05:16:00,119.40666666666668,1.0850833333333334,118.48333333333333,59.955000000000005,0.0019999999999527063,0.9138333333333334,48.81478666666667,9.271333333333333,43.09,32.916666666666664,0.0,35.416666666666664,14.485333333333333,49.21383333333333,9.816
3C:61:05:12:96:30,6,2022-07-02 05:17:00,119.40333333333335,1.0859666666666667,118.685,59.96666666666667,0.002000000000066393,0.9151666666666667,49.27775,10.442833333333335,43.09,33.45,0.0,35.46666666666667,14.482833333333334,49.19666666666667,9.692166666666667
3C:61:05:12:96:30,6,2022-07-02 05:18:00,119.39000000000001,1.0796833333333333,117.88333333333334,59.96333333333334,0.0019999999999527063,0.9151666666666667,49.74071333333334,10.365333333333332,43.09,33.53333333333333,0.0,35.38333333333333,14.4745,49.207166666666666,9.1005
3C:61:05:12:96:30,6,2022-07-02 05:19:00,119.39333333333335,1.08105,118.10666666666665,59.97,0.0019999999999527063,0.9146666666666667,51.055525,9.834833333333334,43.09,32.75,0.0,35.28333333333333,14.458666666666666,49.17633333333333,9.070333333333334
3C:61:05:12:96:30,6,2022-07-02 05:20:00,119.39833333333334,1.0766166666666666,117.55666666666666,59.958333333333336,0.002000000000066393,0.9141666666666667,50.351821666666666,10.707833333333333,43.09,33.8,0.0,35.35,14.467333333333332,49.14816666666666,9.168333333333333
3C:61:05:12:96:30,6,2022-07-02 05:21:00,119.39833333333334,1.0822,118.17666666666668,59.95666666666667,0.0019999999999527063,0.9143333333333333,51.527746666666665,10.614333333333333,43.09,33.916666666666664,0.0,35.2,14.497333333333334,49.169333333333334,9.525833333333333
3C:61:05:12:96:30,6,2022-07-02 05:22:00,119.39166666666667,1.0855166666666667,118.60666666666665,59.958333333333336,0.0009999999999763531,0.9138333333333334,49.28701,10.331999999999999,43.09,33.6,0.0,35.416666666666664,14.539333333333333,49.17183333333333,10.141833333333333
3C:61:05:12:96:30,6,2022-07-02 05:23:00,119.39500000000001,1.0807499999999999,118.15,59.96666666666667,0.002000000000066393,0.9146666666666667,51.98145,9.510333333333334,43.09,32.583333333333336,0.0,35.6,14.496999999999998,49.18516666666667,8.989
3C:61:05:12:96:30,6,2022-07-02 05:24:00,119.405,1.0756666666666668,117.425,59.93333333333333,0.0019999999999527063,0.9135000000000001,51.98145,10.416500000000001,43.09,34.03333333333333,0.0,35.36666666666667,14.495666666666667,49.18683333333333,9.801166666666667
3C:61:05:12:96:30,6,2022-07-02 05:25:00,119.385,1.0860833333333335,118.66000000000001,59.985,0.002000000000066393,0.9145000000000001,51.50922833333333,10.121666666666666,43.09,33.36666666666667,0.0,35.56666666666667,14.494833333333332,49.18766666666667,9.887166666666667
3C:61:05:12:96:30,6,2022-07-02 05:26:00,119.405,1.0788499999999999,117.72333333333333,59.945,0.0019999999999527063,0.9138333333333334,51.527746666666665,9.605500000000001,43.09,33.11666666666667,0.0,35.55,14.514833333333334,49.17833333333333,9.744833333333332
3C:61:05:12:96:30,6,2022-07-02 05:27:00,119.41166666666668,1.0894000000000001,119.07833333333333,59.945,0.002000000000066393,0.9145000000000001,50.61108166666667,10.118,43.09,33.85,0.0,35.75,14.538499999999999,49.195166666666665,10.120833333333334
3C:61:05:12:96:30,6,2022-07-02 05:28:00,119.40508474576272,1.0762033898305086,117.38983050847457,59.97118644067797,0.0019999999999527063,0.9128813559322034,51.04516779661017,10.383050847457627,43.09,33.59322033898305,0.0,35.50847457627118,14.521016949152543,49.217118644067796,9.655254237288135
3C:61:05:12:96:30,6,2022-07-02 05:29:00,119.40833333333333,1.0859166666666666,118.7,59.96,0.0019999999999527063,0.9155,52.425893333333335,10.044333333333332,43.09,33.8,0.0,35.5,14.493333333333334,49.247166666666665,10.641833333333333
3C:61:05:12:96:30,6,2022-07-02 05:30:00,119.39833333333334,1.0842166666666666,118.42,59.99333333333333,0.002000000000066393,0.9148333333333334,50.17589666666667,10.249833333333333,43.09,33.38333333333333,0.0,35.61666666666667,14.469,49.25266666666666,9.935666666666666
